Scaffold ID,Scaffold Original ID,Scaffold Name,IMG Genome ID (IMG Taxon ID),Genome Name / Sample Name,Scaffold Topology,NCBI Molecular Type,Scaffold Gene Count,Scaffold Nucleotide Length (bp),Scaffold GC Content,Scaffold Read Depth,Lineage,Lineage Percentage,In MetaBAT Bins,In EukCC Bins
3300049257 assembled Ga0508133_022559,k141_22235,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,676,0.67,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_023540,k141_131238,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,414,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_024328,k141_110731,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,362,0.62,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_025427,k141_69431,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,397,0.61,1,,,,
3300049257 assembled Ga0508133_026134,k141_14452,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,1107,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_026717,k141_90450,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,402,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_028719,k141_131563,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,562,0.62,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_028962,k141_69720,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,327,0.61,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_030597,k141_111034,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,1374,0.61,1,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium; Rhizomicrobium sp. SG733,100,,
3300049257 assembled Ga0508133_031442,k141_97393,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,961,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_032573,k141_76891,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,777,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_032959,k141_36282,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,2224,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_033243,k141_56248,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,379,0.69,1,,,,
3300049257 assembled Ga0508133_034354,k141_64059,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,364,0.61,1,,,,
3300049257 assembled Ga0508133_035670,k141_36471,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,730,0.61,1,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium,100,,
3300049257 assembled Ga0508133_036302,k141_77198,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,390,0.66,1,,,,
3300049257 assembled Ga0508133_037871,k141_126099,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,534,0.67,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_038945,k141_70357,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,326,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_040079,k141_91140,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,417,0.6,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_040480,k141_64554,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,646,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_041522,k141_91302,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,580,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_041944,k141_2581,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,796,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_042475,k141_111826,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,266,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_043201,k141_44247,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,304,0.67,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_043988,k141_50809,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,533,0.61,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas sp. B29,100,,
3300049257 assembled Ga0508133_045229,k141_64895,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,332,0.69,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_045408,k141_57179,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,434,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_045797,k141_105120,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,1037,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_046650,k141_9559,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,1478,0.67,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_049958,k141_78241,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,502,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_050073,k141_3146,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,640,0.67,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_053277,k141_3433,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,526,0.67,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_055710,k141_112667,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,598,0.62,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_055798,k141_65534,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,930,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_056903,k141_133424,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,2186,0.61,1,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium; Rhizomicrobium sp. SG733,100,,
3300049257 assembled Ga0508133_057192,k141_112758,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,391,0.59,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_058830,k141_65777,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,816,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales,100,,
3300049257 assembled Ga0508133_058852,k141_38101,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,446,0.61,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_059824,k141_120424,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,1419,0.62,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_059953,k141_52138,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,1105,0.67,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_060036,k141_30967,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,563,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_060477,k141_25303,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,447,0.69,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_062524,k141_133827,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,787,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_062754,k141_25519,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,1893,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_064880,k141_127571,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,286,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_067083,k141_52696,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,696,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_067608,k141_106279,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,374,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_069168,k141_127910,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,407,0.62,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_073634,k141_134476,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,1926,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_073742,k141_66892,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,782,0.67,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_076449,k141_100515,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,335,0.62,1,,,,
3300049257 assembled Ga0508133_076903,k141_114060,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,283,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_077679,k141_67171,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,464,0.64,1,,,,
3300049257 assembled Ga0508133_079405,k141_60087,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,221,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_080997,k141_92974,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,282,0.6,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_081950,k141_121933,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,435,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_083838,k141_87351,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,470,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_088663,k141_11231,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,278,0.68,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_088821,k141_129441,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,1604,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_090752,k141_11375,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,2490,0.62,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_092741,k141_40842,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,641,0.6,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_093133,k141_135786,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,302,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_094701,k141_61001,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,2173,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_095289,k141_5937,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,1276,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_096133,k141_19054,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,683,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_098107,k141_19171,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,524,0.68,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_099085,k141_33462,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,360,0.67,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_099552,k141_19344,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,541,0.61,1,,,,
3300049257 assembled Ga0508133_101348,k141_81582,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,708,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049256 assembled Ga0508132_10094,NODE_10094_length_817_cov_1.454054,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,817,0.59,1,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium; Rhizomicrobium sp. SG733,100,,
3300049256 assembled Ga0508132_15074,NODE_15074_length_654_cov_1.003466,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,654,0.58,1,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium; Rhizomicrobium sp. SG733,100,,
3300049256 assembled Ga0508132_16299,NODE_16299_length_628_cov_1.255898,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,628,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049256 assembled Ga0508132_23417,NODE_23417_length_523_cov_1.403587,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,523,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium selenitireducens,100,,
3300049256 assembled Ga0508132_24533,NODE_24533_length_511_cov_1.156682,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,511,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium selenitireducens,100,,
3300049256 assembled Ga0508132_34544,NODE_34544_length_436_cov_1.679666,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,436,0.61,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium sp. ACO-34A,100,,
3300049256 assembled Ga0508132_35131,NODE_35131_length_433_cov_2.140449,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,433,0.61,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Ciceribacter; Ciceribacter lividus,100,,
3300049256 assembled Ga0508132_41019,NODE_41019_length_409_cov_1.828313,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,409,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas sp. B29,100,,
3300049256 assembled Ga0508132_41576,NODE_41576_length_407_cov_2.084848,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,407,0.62,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium sp. ACO-34A,100,,
3300049256 assembled Ga0508132_42775,NODE_42775_length_403_cov_2.450920,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,403,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas sp. AAP120,100,,
3300049256 assembled Ga0508132_43797,NODE_43797_length_400_cov_1.071207,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,400,0.57,1,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium; Rhizomicrobium sp. SG733,100,,
3300049256 assembled Ga0508132_43992,NODE_43992_length_399_cov_320.015528,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,399,0.69,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049256 assembled Ga0508132_50483,NODE_50483_length_379_cov_1.662252,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,379,0.58,1,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium; Rhizomicrobium sp. SG733,100,,
3300049256 assembled Ga0508132_51761,NODE_51761_length_376_cov_0.959866,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,376,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049256 assembled Ga0508132_52335,NODE_52335_length_374_cov_1.161616,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,374,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Pleomorphomonadaceae; Pleomorphomonas; Pleomorphomonas oryzae,100,,
3300049256 assembled Ga0508132_53983,NODE_53983_length_370_cov_0.962457,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,370,0.69,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049256 assembled Ga0508132_55445,NODE_55445_length_365_cov_127.597222,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,365,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049256 assembled Ga0508132_60704,NODE_60704_length_352_cov_1.152727,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,352,0.47,1,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae; Sporomusa; Sporomusa acidovorans,100,,
3300049256 assembled Ga0508132_63279,NODE_63279_length_345_cov_1.873134,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,345,0.58,1,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium; Rhizomicrobium sp. SG733,100,,
